Epoch,Loss,Top1 Acc,Top5 Acc,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc
1,1.2923429170449574,0.4820833333333333,0.9833333333333333,0.625,0.325,0.6085,0.574,0.309,0.5375
2,1.117857182900111,0.5611875,0.9893958333333334,0.789,0.6495,0.6095,0.439,0.4045,0.5205
3,1.0195894817908604,0.6056458333333333,0.9915833333333334,0.601,0.537,0.576,0.765,0.3825,0.7125
4,0.9450709555943807,0.6385416666666667,0.9935833333333334,0.7155,0.293,0.697,0.5505,0.656,0.827
5,0.8746564574241639,0.6687916666666667,0.9948541666666667,0.77,0.5495,0.7045,0.73,0.5485,0.571
6,0.806380473613739,0.6957708333333333,0.9962916666666667,0.4335,0.4125,0.729,0.6775,0.702,0.7825
7,0.7195881996353467,0.7297291666666667,0.9979166666666667,0.7645,0.535,0.747,0.666,0.532,0.694
8,0.6088181238075098,0.7730208333333334,0.9987083333333333,0.735,0.4475,0.6855,0.6235,0.602,0.7775
9,0.47720373995602133,0.8229166666666666,0.9994375,0.7475,0.487,0.7105,0.6275,0.529,0.7135
10,0.344455814058582,0.8720625,0.9997291666666667,0.7415,0.463,0.511,0.695,0.5865,0.6605
11,0.23621797857806087,0.9134375,0.9999583333333333,0.6845,0.448,0.706,0.604,0.5895,0.671
12,0.16901443353667855,0.938375,0.9999583333333333,0.6185,0.545,0.5545,0.594,0.6055,0.742
13,0.12630411908465128,0.9555625,0.9999791666666666,0.677,0.643,0.5295,0.5165,0.588,0.6655
14,0.10398476921782518,0.96325,0.9999791666666666,0.7335,0.505,0.6195,0.6165,0.5255,0.738
15,0.09250477681293463,0.9665208333333334,0.9999583333333333,0.717,0.5105,0.6315,0.5415,0.561,0.7
16,0.07922529462375678,0.9722083333333333,1.0,0.6825,0.532,0.57,0.5835,0.5725,0.7215
17,0.07550593120868629,0.9730625,0.9999791666666666,0.714,0.4905,0.65,0.5385,0.618,0.6665
18,0.0663549670582482,0.9765833333333334,0.9999791666666666,0.6555,0.538,0.685,0.5275,0.6265,0.58
19,0.0677642592023282,0.9765625,1.0,0.608,0.549,0.5875,0.63,0.5025,0.752
20,0.05771613229240757,0.9797708333333334,1.0,0.698,0.3865,0.734,0.649,0.467,0.7115
21,0.05643308218886765,0.9801041666666667,1.0,0.632,0.6075,0.695,0.5925,0.543,0.588
